,lagtime,interac,focal_species,partner_species,settype
0,0.5384615384615384,0.0,Alternaria,Aureobasidium,3.0
1,0.2222222222222222,-0.014958987708915182,Alternaria,Bifidobacterium,2.0
2,0.9230769230769231,0.0,Alternaria,Candida,3.0
3,0.6923076923076923,0.0,Alternaria,Cladosporium,3.0
4,0.3333333333333333,0.0,Alternaria,Clostridium_sensu_stricto_1,3.0
5,0.6153846153846154,-0.012183471069629965,Alternaria,Corynebacterium,2.0
6,0.4444444444444444,0.014931632621294716,Alternaria,Enterobacter,3.0
7,0.5833333333333334,0.02787163980675497,Alternaria,Enterococcus,3.0
8,0.38461538461538464,0.0,Alternaria,Escherichia_Shigella,3.0
9,0.38461538461538464,0.0,Alternaria,Filobasidium,3.0
10,0.6923076923076923,-0.0114824487745211,Alternaria,Klebsiella,2.0
11,0.1111111111111111,0.0,Alternaria,Kluyveromyces,3.0
12,0.46153846153846156,0.0,Alternaria,Malassezia,3.0
13,0.3333333333333333,0.02934422867930665,Alternaria,Propionibacterium,3.0
14,1.0,0.0,Alternaria,Staphylococcus,3.0
15,0.38461538461538464,-0.01814814911609366,Alternaria,Streptococcus,2.0
17,0.18181818181818182,-0.01937901916216041,Alternaria,Veillonella,2.0
18,0.7692307692307693,0.0,Aureobasidium,Alternaria,3.0
19,0.3333333333333333,0.0,Aureobasidium,Bifidobacterium,3.0
20,1.0,-0.01470588466249759,Aureobasidium,Candida,2.0
21,0.9230769230769231,-0.06830519825199652,Aureobasidium,Cladosporium,2.0
22,0.4166666666666667,-0.011528290864219356,Aureobasidium,Clostridium_sensu_stricto_1,2.0
23,0.9230769230769231,0.12152535323417893,Aureobasidium,Corynebacterium,4.0
24,0.4444444444444444,-0.055871665361252036,Aureobasidium,Enterobacter,2.0
25,0.8333333333333334,0.021987259821704155,Aureobasidium,Enterococcus,3.0
26,0.6923076923076923,0.0,Aureobasidium,Escherichia_Shigella,3.0
27,0.6923076923076923,-0.011497601055419984,Aureobasidium,Filobasidium,2.0
28,0.7692307692307693,0.12419093817291033,Aureobasidium,Klebsiella,4.0
29,0.1111111111111111,-0.12830768374208346,Aureobasidium,Kluyveromyces,1.0
30,0.6923076923076923,0.03725623062620905,Aureobasidium,Malassezia,3.0
31,0.5833333333333334,-0.025068167589530625,Aureobasidium,Propionibacterium,2.0
32,1.0,0.0,Aureobasidium,Staphylococcus,3.0
33,0.6153846153846154,0.0,Aureobasidium,Streptococcus,3.0
35,0.45454545454545453,-0.01298906484103765,Aureobasidium,Veillonella,2.0
36,0.7777777777777778,0.03654030928749168,Bifidobacterium,Alternaria,3.0
37,0.6666666666666666,0.0,Bifidobacterium,Aureobasidium,3.0
38,0.8888888888888888,-0.01507229275384475,Bifidobacterium,Candida,2.0
39,0.8888888888888888,0.0,Bifidobacterium,Cladosporium,3.0
40,0.5,0.0,Bifidobacterium,Clostridium_sensu_stricto_1,3.0
41,1.0,0.0,Bifidobacterium,Corynebacterium,3.0
42,0.6,0.0,Bifidobacterium,Enterobacter,3.0
43,0.875,0.0,Bifidobacterium,Enterococcus,3.0
44,0.7777777777777778,0.0,Bifidobacterium,Escherichia_Shigella,3.0
45,0.7777777777777778,0.0,Bifidobacterium,Filobasidium,3.0
46,1.0,0.0,Bifidobacterium,Klebsiella,3.0
47,0.7142857142857143,-0.031735467488923697,Bifidobacterium,Kluyveromyces,2.0
48,0.8888888888888888,0.03177576368533105,Bifidobacterium,Malassezia,3.0
49,1.0,0.010971153451173051,Bifidobacterium,Propionibacterium,3.0
50,1.0,0.0,Bifidobacterium,Staphylococcus,3.0
51,0.8888888888888888,0.0,Bifidobacterium,Streptococcus,3.0
53,0.625,0.0,Bifidobacterium,Veillonella,3.0
54,0.38461538461538464,0.0,Candida,Alternaria,3.0
55,0.15384615384615385,0.0,Candida,Aureobasidium,3.0
56,0.1111111111111111,0.0,Candida,Bifidobacterium,3.0
57,0.5384615384615384,0.0,Candida,Cladosporium,3.0
58,0.16666666666666666,0.0,Candida,Clostridium_sensu_stricto_1,3.0
59,0.38461538461538464,-0.011264828004364666,Candida,Corynebacterium,2.0
60,0.4444444444444444,-0.023735991756650174,Candida,Enterobacter,2.0
61,0.25,0.0,Candida,Enterococcus,3.0
62,0.15384615384615385,0.0,Candida,Escherichia_Shigella,3.0
63,0.23076923076923078,0.0,Candida,Filobasidium,3.0
64,0.5384615384615384,0.0,Candida,Klebsiella,3.0
65,0.0,0.0,Candida,Kluyveromyces,3.0
66,0.3076923076923077,0.0,Candida,Malassezia,3.0
67,0.16666666666666666,-0.010353790641866464,Candida,Propionibacterium,2.0
68,1.0,-0.020296562226579086,Candida,Staphylococcus,2.0
69,0.07692307692307693,0.0,Candida,Streptococcus,3.0
71,0.09090909090909091,-0.010204185053523648,Candida,Veillonella,2.0
72,0.6153846153846154,0.024433330361405662,Cladosporium,Alternaria,3.0
73,0.3076923076923077,-0.025676135765744727,Cladosporium,Aureobasidium,2.0
74,0.1111111111111111,0.03973108905237025,Cladosporium,Bifidobacterium,3.0
75,0.9230769230769231,-0.021945985221317046,Cladosporium,Candida,2.0
76,0.16666666666666666,-0.11851299492531073,Cladosporium,Clostridium_sensu_stricto_1,1.0
77,0.6153846153846154,-0.024001732304695732,Cladosporium,Corynebacterium,2.0
78,0.4444444444444444,0.08576201766942265,Cladosporium,Enterobacter,3.0
79,0.5833333333333334,0.10881661021624936,Cladosporium,Enterococcus,4.0
80,0.46153846153846156,0.010681494720559721,Cladosporium,Escherichia_Shigella,3.0
81,0.3076923076923077,0.0,Cladosporium,Filobasidium,3.0
82,0.6153846153846154,0.12020822225960905,Cladosporium,Klebsiella,4.0
83,0.1111111111111111,0.029343726737153162,Cladosporium,Kluyveromyces,3.0
84,0.46153846153846156,0.0,Cladosporium,Malassezia,3.0
85,0.3333333333333333,-0.06380813788129894,Cladosporium,Propionibacterium,2.0
86,1.0,-0.022208572139933203,Cladosporium,Staphylococcus,2.0
87,0.38461538461538464,0.0,Cladosporium,Streptococcus,3.0
89,0.2727272727272727,0.05288736966927028,Cladosporium,Veillonella,3.0
90,0.8333333333333334,0.0,Clostridium_sensu_stricto_1,Alternaria,3.0
91,0.75,0.0,Clostridium_sensu_stricto_1,Aureobasidium,3.0
92,0.625,0.0,Clostridium_sensu_stricto_1,Bifidobacterium,3.0
93,0.9166666666666666,0.0,Clostridium_sensu_stricto_1,Candida,3.0
94,0.8333333333333334,0.0,Clostridium_sensu_stricto_1,Cladosporium,3.0
95,0.9166666666666666,0.0,Clostridium_sensu_stricto_1,Corynebacterium,3.0
96,0.6666666666666666,0.0,Clostridium_sensu_stricto_1,Enterobacter,3.0
97,1.0,0.0,Clostridium_sensu_stricto_1,Enterococcus,3.0
98,0.8333333333333334,0.0,Clostridium_sensu_stricto_1,Escherichia_Shigella,3.0
99,0.75,0.0,Clostridium_sensu_stricto_1,Filobasidium,3.0
100,0.9166666666666666,0.0,Clostridium_sensu_stricto_1,Klebsiella,3.0
101,0.6666666666666666,-0.060296955905097774,Clostridium_sensu_stricto_1,Kluyveromyces,2.0
102,0.75,-0.016998567781032196,Clostridium_sensu_stricto_1,Malassezia,2.0
103,0.75,0.0,Clostridium_sensu_stricto_1,Propionibacterium,3.0
104,1.0,0.0,Clostridium_sensu_stricto_1,Staphylococcus,3.0
105,0.8333333333333334,0.0,Clostridium_sensu_stricto_1,Streptococcus,3.0
107,0.7,0.0,Clostridium_sensu_stricto_1,Veillonella,3.0
108,0.6923076923076923,0.0,Corynebacterium,Alternaria,3.0
109,0.3076923076923077,-0.02898956805184895,Corynebacterium,Aureobasidium,2.0
110,0.2222222222222222,0.0,Corynebacterium,Bifidobacterium,3.0
111,0.9230769230769231,0.0,Corynebacterium,Candida,3.0
112,0.5384615384615384,0.0,Corynebacterium,Cladosporium,3.0
113,0.3333333333333333,0.0,Corynebacterium,Clostridium_sensu_stricto_1,3.0
114,0.5555555555555556,0.010056691662669813,Corynebacterium,Enterobacter,3.0
115,0.4166666666666667,0.0,Corynebacterium,Enterococcus,3.0
116,0.46153846153846156,0.0,Corynebacterium,Escherichia_Shigella,3.0
117,0.3076923076923077,0.018924663751639828,Corynebacterium,Filobasidium,3.0
118,0.6923076923076923,0.0,Corynebacterium,Klebsiella,3.0
119,0.0,0.0,Corynebacterium,Kluyveromyces,3.0
120,0.5384615384615384,0.0,Corynebacterium,Malassezia,3.0
121,0.25,0.0,Corynebacterium,Propionibacterium,3.0
122,1.0,0.0,Corynebacterium,Staphylococcus,3.0
123,0.23076923076923078,0.0,Corynebacterium,Streptococcus,3.0
125,0.09090909090909091,0.0,Corynebacterium,Veillonella,3.0
126,0.7777777777777778,0.03856944383522247,Enterobacter,Alternaria,3.0
127,0.5555555555555556,0.0,Enterobacter,Aureobasidium,3.0
128,0.8,0.0,Enterobacter,Bifidobacterium,3.0
129,0.8888888888888888,0.011343426972366163,Enterobacter,Candida,3.0
130,0.6666666666666666,0.0,Enterobacter,Cladosporium,3.0
131,0.6666666666666666,-0.0101705366229097,Enterobacter,Clostridium_sensu_stricto_1,2.0
132,0.7777777777777778,0.01710764353711605,Enterobacter,Corynebacterium,3.0
133,0.7777777777777778,0.013089980414261921,Enterobacter,Enterococcus,3.0
134,0.5555555555555556,0.015703923426570652,Enterobacter,Escherichia_Shigella,3.0
135,0.4444444444444444,0.0,Enterobacter,Filobasidium,3.0
136,0.8888888888888888,0.0,Enterobacter,Klebsiella,3.0
137,0.42857142857142855,0.012082492034335323,Enterobacter,Kluyveromyces,3.0
138,0.4444444444444444,0.0,Enterobacter,Malassezia,3.0
139,0.5555555555555556,0.0,Enterobacter,Propionibacterium,3.0
140,1.0,-0.013301002249013705,Enterobacter,Staphylococcus,2.0
141,0.5555555555555556,0.0,Enterobacter,Streptococcus,3.0
143,0.375,0.0,Enterobacter,Veillonella,3.0
144,0.5833333333333334,0.0,Enterococcus,Alternaria,3.0
145,0.3333333333333333,0.025410689990988156,Enterococcus,Aureobasidium,3.0
146,0.25,0.01295094291171748,Enterococcus,Bifidobacterium,3.0
147,0.9166666666666666,0.0,Enterococcus,Candida,3.0
148,0.5833333333333334,0.0,Enterococcus,Cladosporium,3.0
149,0.25,0.0,Enterococcus,Clostridium_sensu_stricto_1,3.0
150,0.75,0.0,Enterococcus,Corynebacterium,3.0
151,0.4444444444444444,0.0,Enterococcus,Enterobacter,3.0
152,0.5,0.0,Enterococcus,Escherichia_Shigella,3.0
153,0.4166666666666667,0.02567960821343689,Enterococcus,Filobasidium,3.0
154,0.5833333333333334,0.0,Enterococcus,Klebsiella,3.0
155,0.2222222222222222,0.0,Enterococcus,Kluyveromyces,3.0
156,0.5833333333333334,0.03932269229350746,Enterococcus,Malassezia,3.0
157,0.4166666666666667,-0.01869170650159921,Enterococcus,Propionibacterium,2.0
158,1.0,0.0,Enterococcus,Staphylococcus,3.0
159,0.3333333333333333,0.06664650755459786,Enterococcus,Streptococcus,3.0
161,0.2,0.0,Enterococcus,Veillonella,3.0
162,0.6923076923076923,0.0,Escherichia_Shigella,Alternaria,3.0
163,0.38461538461538464,-0.011277982645507185,Escherichia_Shigella,Aureobasidium,2.0
164,0.4444444444444444,0.0,Escherichia_Shigella,Bifidobacterium,3.0
165,0.9230769230769231,-0.016685392933750137,Escherichia_Shigella,Candida,2.0
166,0.6153846153846154,-0.0129150146523071,Escherichia_Shigella,Cladosporium,2.0
167,0.25,0.0,Escherichia_Shigella,Clostridium_sensu_stricto_1,3.0
168,0.9230769230769231,-0.03653913629901427,Escherichia_Shigella,Corynebacterium,2.0
169,0.5555555555555556,0.0,Escherichia_Shigella,Enterobacter,3.0
170,0.75,0.0,Escherichia_Shigella,Enterococcus,3.0
171,0.46153846153846156,0.1085108896226247,Escherichia_Shigella,Filobasidium,4.0
172,0.7692307692307693,0.012366909232364729,Escherichia_Shigella,Klebsiella,3.0
173,0.2222222222222222,-0.010247432225321129,Escherichia_Shigella,Kluyveromyces,2.0
174,0.6153846153846154,0.0,Escherichia_Shigella,Malassezia,3.0
175,0.4166666666666667,0.0,Escherichia_Shigella,Propionibacterium,3.0
176,1.0,0.0,Escherichia_Shigella,Staphylococcus,3.0
177,0.6153846153846154,0.013687744167148404,Escherichia_Shigella,Streptococcus,3.0
179,0.2727272727272727,0.0,Escherichia_Shigella,Veillonella,3.0
180,0.6923076923076923,-0.04731736238113536,Filobasidium,Alternaria,2.0
181,0.46153846153846156,0.025900276379714097,Filobasidium,Aureobasidium,3.0
182,0.2222222222222222,-0.019833468392360425,Filobasidium,Bifidobacterium,2.0
183,1.0,-0.03157842026368088,Filobasidium,Candida,2.0
184,0.8461538461538461,-0.043342197950918634,Filobasidium,Cladosporium,2.0
185,0.4166666666666667,-0.07351744355127285,Filobasidium,Clostridium_sensu_stricto_1,2.0
186,0.6923076923076923,-0.01276123893005236,Filobasidium,Corynebacterium,2.0
187,0.5555555555555556,-0.022918086705527054,Filobasidium,Enterobacter,2.0
188,0.8333333333333334,0.0,Filobasidium,Enterococcus,3.0
189,0.6153846153846154,0.042190452892010566,Filobasidium,Escherichia_Shigella,3.0
190,0.5384615384615384,0.1037357802167599,Filobasidium,Klebsiella,4.0
191,0.2222222222222222,0.08388616134567564,Filobasidium,Kluyveromyces,3.0
192,0.8461538461538461,-0.07965820000183972,Filobasidium,Malassezia,2.0
193,0.5,0.0,Filobasidium,Propionibacterium,3.0
194,1.0,0.0,Filobasidium,Staphylococcus,3.0
195,0.46153846153846156,0.0,Filobasidium,Streptococcus,3.0
197,0.45454545454545453,0.0,Filobasidium,Veillonella,3.0
198,0.5384615384615384,0.01089200759433764,Klebsiella,Alternaria,3.0
199,0.38461538461538464,0.0,Klebsiella,Aureobasidium,3.0
200,0.1111111111111111,-0.017737134538456198,Klebsiella,Bifidobacterium,2.0
201,0.7692307692307693,-0.016420329331813834,Klebsiella,Candida,2.0
